Old_CD,New_SD,Old_CD_Republican,Old_CD_Democrat,Old_CD_Other,Old_CD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
11,2,51835,7387,33458,467634,7964,1436,89,6439,882.7714409131928,125.80365841662496,553.2285590868072,-36.803658416624955,62.66951256539447,-29.254839549055077
11,3,51835,7387,33458,467634,6828,1429,51,5348,756.8512554690207,107.85878700008982,672.1487445309793,-56.85878700008982,88.80856570878632,-52.715952572359704
11,5,51835,7387,33458,467634,6157,1455,41,4661,682.4741036793732,97.25930749261174,772.5258963206268,-56.25930749261174,113.19490251069804,-57.84465152282259
11,7,51835,7387,33458,467634,29341,2517,751,26073,3252.3100009836753,463.48633119063203,-735.3100009836753,287.51366880936797,-22.60885342299097,62.0328258809241
11,8,51835,7387,33458,467634,2497,805,22,1670,276.7805484631143,39.44396472454954,528.2194515368857,-17.443964724549538,190.84413788105482,-44.22467377802056
11,9,51835,7387,33458,467634,30159,1322,948,27889,3342.9814021221723,476.4079023338765,-2020.9814021221723,471.5920976661235,-60.45446142294494,98.98914257211922
11,10,51835,7387,33458,467634,9592,2360,69,7163,1063.2274813208621,151.52042836919472,1296.7725186791379,-82.52042836919472,121.96566976129506,-54.46158597712344
11,11,51835,7387,33458,467634,190014,18459,1990,169565,21062.146229743772,3001.5640821668226,-2603.146229743772,-1011.5640821668226,-12.3593588295747,-33.70123224011185
11,13,51835,7387,33458,467634,18497,4707,347,13443,2050.304287113426,292.1886325630728,2656.695712886574,54.811367436927185,129.5756795508081,18.758897961266655
11,18,51835,7387,33458,467634,56547,4350,1317,50880,6267.965428091199,893.247045766561,-1917.965428091199,423.752954233439,-30.599489580708845,47.439614409223765
11,19,51835,7387,33458,467634,3967,894,29,3044,439.7230419516117,62.66488108221387,454.2769580483883,-33.66488108221387,103.30979155246955,-53.722085641632134
11,23,51835,7387,33458,467634,844,236,2,606,93.55337721380396,13.332281228482104,142.44662278619603,-11.332281228482104,152.26240572871353,-84.99881628863824
11,27,51835,7387,33458,467634,874,314,1,559,96.8787342237733,13.806177480679334,217.12126577622672,-12.806177480679334,224.11653859423245,-92.75686553066971
