COUNTY,NEWHD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
SAN JACINTO,18,1603,102,18821,20526,7.809607327292214,0.4969307220111079,91.69346195069667
SAN PATRICIO,43,1306,441,43625,45372,2.8784272238384907,0.9719650886008991,96.14960768756062
SAN SABA,68,492,6,3305,3803,12.93715487772811,0.15777018143570865,86.90507494083619
SCHLEICHER,53,169,23,1544,1736,9.735023041474653,1.3248847926267282,88.94009216589862
SCURRY,83,719,20,8661,9400,7.648936170212766,0.2127659574468085,92.13829787234043
SHACKELFORD,68,231,3,2209,2443,9.455587392550143,0.12279983626688497,90.42161277118296
SHELBY,11,1089,41,15265,16395,6.642268984446477,0.2500762427569381,93.1076547727966
SHERMAN,87,149,1,1302,1452,10.261707988980715,0.06887052341597796,89.6694214876033
SMITH,0,0,0,5,5,0.0,0.0,100.0
SMITH,5,1682,254,30617,32553,5.166958498448683,0.7802660277086597,94.05277547384266
SMITH,6,7286,1402,120956,129644,5.62000555367005,1.0814229736817746,93.29857147264818
SOMERVELL,58,757,28,6650,7435,10.181573638197714,0.3765971755211836,89.44182918628111
STARR,31,28,1033,35410,36471,0.07677332675276247,2.832387376271558,97.09083929697569
STEPHENS,60,580,5,5324,5909,9.815535623624978,0.08461668641056017,90.09984768996446
STERLING,72,132,2,740,874,15.102974828375288,0.2288329519450801,84.66819221967964
STONEWALL,69,59,5,893,957,6.165099268547544,0.522466039707419,93.31243469174504
SUTTON,53,344,11,1999,2354,14.613423959218352,0.46728971962616817,84.91928632115548
SWISHER,88,290,11,3608,3909,7.418777180864672,0.28140189306728064,92.29982092606804
TARRANT,90,928,1697,92054,94679,0.9801539940219055,1.7923721205335925,97.22747388544451
TARRANT,91,3840,1069,111965,116874,3.285589609322861,0.9146602323870151,95.79975015829012
