County,Old_SD,New_SD,Old_Republican,Old_Democrat,Old_Other,Old_Total,Transition_Republican,Transition_Democrat,Transition_Other,Transition_Total,Pct_Old_Republican,Pct_Old_Democrat,Pct_Transition_Republican,Pct_Transition_Democrat
GRAYSON,30,6.0,4743,502,95136,100381,1773,192,35435,37400,4.724997758539963,0.5000946394237953,4.740641711229947,0.5133689839572192
GRAYSON,30,15.0,4743,502,95136,100381,988,94,20793,21875,4.724997758539963,0.5000946394237953,4.516571428571429,0.4297142857142857
GRAYSON,30,17.0,4743,502,95136,100381,28,4,726,758,4.724997758539963,0.5000946394237953,3.6939313984168867,0.5277044854881267
GRAYSON,30,11.0,4743,502,95136,100381,421,18,6732,7171,4.724997758539963,0.5000946394237953,5.870868777018547,0.2510110165946172
GRAYSON,30,7.0,4743,502,95136,100381,197,12,3235,3444,4.724997758539963,0.5000946394237953,5.720092915214867,0.34843205574912894
GRAYSON,30,13.0,4743,502,95136,100381,1281,156,25872,27309,4.724997758539963,0.5000946394237953,4.690761287487642,0.571240250466879
GRAYSON,30,4.0,4743,502,95136,100381,55,26,2343,2424,4.724997758539963,0.5000946394237953,2.268976897689769,1.0726072607260726
GREGG,1,3.0,3195,789,72471,76455,3193,787,72419,76399,4.178928781636257,1.0319795958406905,4.179374075576906,1.030118195264336
GRIMES,18,20.0,1057,109,19995,21161,743,64,13632,14439,4.995038041680449,0.5150985303152025,5.1457857192326335,0.4432439919662026
GRIMES,18,27.0,1057,109,19995,21161,311,45,6214,6570,4.995038041680449,0.5150985303152025,4.7336377473363775,0.684931506849315
GUADALUPE,19,6.0,1196,238,23508,24942,544,123,10431,11098,4.7951246892791275,0.9542137759602278,4.901784105244189,1.1083078032077853
GUADALUPE,19,15.0,1196,238,23508,24942,154,31,4564,4749,4.7951246892791275,0.9542137759602278,3.242787955359023,0.6527690040008423
GUADALUPE,19,7.0,1196,238,23508,24942,1,2,254,257,4.7951246892791275,0.9542137759602278,0.38910505836575876,0.7782101167315175
GUADALUPE,19,13.0,1196,238,23508,24942,312,55,5996,6363,4.7951246892791275,0.9542137759602278,4.903347477604903,0.8643721515008643
GUADALUPE,19,17.0,1196,238,23508,24942,166,20,2039,2225,4.7951246892791275,0.9542137759602278,7.460674157303371,0.8988764044943821
GUADALUPE,19,4.0,1196,238,23508,24942,19,7,224,250,4.7951246892791275,0.9542137759602278,7.6,2.8000000000000003
GUADALUPE,25,6.0,2588,884,86731,90203,512,173,18575,19260,2.8690841768012154,0.9800117512721307,2.6583592938733127,0.8982346832814122
GUADALUPE,25,15.0,2588,884,86731,90203,474,128,12000,12602,2.8690841768012154,0.9800117512721307,3.7613077289319152,1.0157117917790826
GUADALUPE,25,11.0,2588,884,86731,90203,555,248,19698,20501,2.8690841768012154,0.9800117512721307,2.7071850153651043,1.2096970879469295
GUADALUPE,25,7.0,2588,884,86731,90203,451,142,16724,17317,2.8690841768012154,0.9800117512721307,2.6043772015938096,0.8200034648033724
GUADALUPE,25,13.0,2588,884,86731,90203,220,99,10055,10374,2.8690841768012154,0.9800117512721307,2.120686331212647,0.9543088490456911
GUADALUPE,25,17.0,2588,884,86731,90203,376,94,9679,10149,2.8690841768012154,0.9800117512721307,3.7047985023154992,0.9261996255788748
GUADALUPE,21,6.0,803,96,14939,15838,318,43,8025,8386,5.0700846066422525,0.6061371385275919,3.79203434295254,0.5127593608394944
GUADALUPE,21,15.0,803,96,14939,15838,186,23,2720,2929,5.0700846066422525,0.6061371385275919,6.350290201433936,0.7852509388869922
