COUNTY,2026_HD,Democrat,Republican,Swing,Unknown,All
KENDALL,122.0,18,183,12,2454,2667
KENDALL,123.0,45,334,20,4740,5139
KENDALL,124.0,19,291,8,2638,2956
KENDALL,125.0,25,253,23,2950,3251
KENEDY,68.0,34,2,6,228,270
KENT,81.0,6,48,3,543,600
KERR,129.0,10,167,2,1666,1845
KERR,130.0,54,277,17,4438,4786
KERR,132.0,36,149,5,2126,2316
KERR,133.0,62,383,18,5094,5557
KERR,134.0,25,243,5,3111,3384
KERR,139.0,33,307,16,2715,3071
KERR,140.0,16,108,3,1094,1221
KERR,141.0,23,339,13,3355,3730
KERR,142.0,50,559,22,5690,6321
KERR,143.0,51,521,16,2150,2738
KERR,144.0,33,329,12,2773,3147
KERR,145.0,7,59,2,1028,1096
KERR,147.0,6,51,3,947,1007
KIMBLE,58.0,10,452,10,2854,3326
KING,2.0,0,22,0,143,165
KINNEY,43.0,22,286,38,1828,2174
KLEBERG,35.0,60,109,19,3271,3459
KLEBERG,37.0,239,224,88,11158,11709
KLEBERG,38.0,77,101,27,3368,3573
KNOX,54.0,3,13,0,1014,1030
KNOX,55.0,1,44,2,1152,1199
LA SALLE,12.0,668,14,53,3482,4217
LAMAR,1.0,151,1862,106,31075,33194
LAMB,80.0,17,353,13,7519,7902
LAMPASAS,31.0,125,1153,50,15655,16983
LAVACA,30.0,48,1083,29,13334,14494
LEE,17.0,80,928,33,11160,12201
LEON,3.0,8,289,4,3504,3805
LEON,15.0,3,29,0,975,1007
LEON,16.0,27,616,13,7214,7870
LIBERTY,18.0,208,3038,124,51324,54694
LIMESTONE,81.0,75,1066,56,13276,14473
LIPSCOMB,69.0,1,144,1,1676,1822
LIVE OAK,78.0,34,478,14,7269,7795
LLANO,69.0,203,1836,94,16364,18497
LOVING,9.0,5,9,6,109,129
LUBBOCK,83.0,447,5345,268,83659,89719
LUBBOCK,84.0,690,3337,211,103610,107848
LYNN,25.0,4,74,1,2731,2810
LYNN,29.0,0,56,2,1520,1578
MADISON,17.0,16,763,25,7674,8478
MARION,58.0,53,366,16,7412,7847
MARTIN,82.0,1,312,5,3191,3509
MASON,53.0,20,393,25,2854,3292
MATAGORDA,30.0,172,1373,78,20822,22445
MAVERICK,33.0,2824,64,226,32834,35948
MCCULLOCH,81.0,14,579,15,4833,5441
MCLENNAN,3.0,280,1192,85,32630,34187
MCLENNAN,15.0,342,2305,108,52343,55098
MCLENNAN,16.0,582,2409,152,60195,63338
MCLENNAN,18.0,56,209,7,6948,7220
MCMULLEN,33.0,1,59,4,579,643
MEDINA,33.0,281,2232,78,36026,38617
MENARD,9.0,3,259,4,1253,1519
MIDLAND,82.0,268,4668,101,94238,99275
